110314 1059 00010           501  01            1853                92957356 7 
110314 1100 00024  501  19                     1121                    1426 H 
110314 1100 00010           501  02            1822                    4091 7 
110314 1101 00112           501  01            1858                    1225 7 
110314 1101 00005  501  20                     1233                    1826 G 
110314 1102 00047           501  01            1860                    1438 7 
110314 1102 00018  501  21                     1121                    1426 H 
110314 1102 00108  501  20                     1233                    1826 9 
110314 1102 00010  501  22               8432794674                    1983 9 
110314 1103 00009  501  23                     1926                    1858 G 
110314 1104 00017  501  24               8312788198                    1983 9 
110314 1104 00009  501  25                     4091                    1822 G 
110314 1104 00007           501  01            1851                    1123 7 
110314 1105 00010  501  25                     4091                    1822 9 
110314 1105 00024  501  26                    61426                    1858 H 
110314 1107 00002  501  27                     1015                    1853 G 
110314 1108 00305           501  01            1860                  071541 7 
110314 1111 00103           501  03            1860                  016234 7 
110314 1111 00155           501  01            1824                    4320 7 
110314 1111 00410  501  27                     1015                    1853 9 
110314 1111 00347           501  02            1853                    1298 7 
110314 1111 00002  501  28                                             1822 G 
110314 1112 00015  501  28                                             1822 9 
110314 1112 00008           501  01            1822                   23885 7 
110314 1112 00002  501  29                    04347                    1822 G 
110314 1112 00009  501  29                    04347                    1822 9 
110314 1113 00955  501  23                     1926                    1858 9 
110314 1113 00008  501  30                     1720                    1822 H 
110314 1113 00012  501  01                     1720                    1822 G 
110314 1114 00037  501  01                     1720                    1822 9 
110314 1115 00151           501  02            1858                    4302 7 
110314 1116 00001           501  01            1858                    1925 7 
110314 1116 00011  501  02                     1924                    1426 H 
110314 1116 00006  501  03                     1015                    1853 G 
110314 1116 00019  501  04                     1924                    1424 G 
110314 1116 00000  501  04                     1924                    1424 9 
110314 1117 00010  501  05                     1924                    1428 G 
110314 1118 00123  501  05                     1924                    1428 9 
110314 1118 00003  501  08                     1226                    1424 G 
110314 1118 00002           501  02            1858                    1981 7 
110314 1118 00003  501  06                     1944                    1858 9 
110314 1119 00046           501  01            1853            989107902849 7 
110314 1119 00003  501  07                     1924                    1526 9 
110314 1119 00003           501  01            1526                    1981 7 
110314 1119 00003  501  09                     1924                    1425 G 
110314 1119 00311  501  03                     1015                    1853 9 
110314 1119 00032  501  09                     1924                    1425 9 
110314 1121 00005  501  10                    04091                    1822 G 
110314 1121 00009  501  10                    04091                    1822 9 
110314 1122 00002  501  11                   091522                    1822 G 
110314 1122 00357  501  08                     1226                    1424 9 
110314 1122 00000  501  12                   071541                    1860 I 
110314 1122 00000  501  13                   071541                    1860 I 
110314 1123 00005  501  14                                             1822 G 
110314 1123 00100  501  11                   091522                    1822 9 
110314 1123 00016  501  14                                             1822 9 
110314 1123 00050           501  01            1860            989172874187 7 
110314 1125 00101           501  01            1850            989124475244 7 
110314 1127 00351           501  02            1821                  015573 7 
110314 1127 00002  501  15                     1611                    1835 G 
110314 1127 00001  501  16                   071541                    1860 G 
110314 1128 00002           501  03            1858                    1925 7 
110314 1128 00055  501  15                     1611                    1835 9 
110314 1128 00054           501  01            1853            989124475244 7 
110314 1128 00052  501  16                   071541                    1860 9 
110314 1129 00010           501  01            1860                  071541 7 
110314 1129 00002  501  19                     1255                    1858 G 
110314 1129 00017  501  17               8312444915                    1851 G 
110314 1129 00016  501  18               9506065151                    1983 9 
110314 1129 00017  501  19                     1255                    1858 9 
110314 1129 00002  501  20                     1255                    1853 G 
110314 1130 00100  501  17               8312444915                    1851 9 
110314 1130 00047  501  20                     1255                    1853 9 
110314 1130 00005  501  21                     4151                    1424 G 
110314 1132 00106  501  21                     4151                    1424 9 
110314 1132 00002  501  23                     1944                    1858 H 
110314 1132 00018  501  22                     4151                    1853 G 
110314 1132 00015  501  24                     1438                    1858 H 
110314 1133 00022  501  25                     1944                    1858 H 
110314 1134 00226  501  22                     4151                    1853 9 
110314 1135 00002  501  26                     4041                    1822 G 
110314 1136 00029  501  27                     1945                    1850 H 
110314 1136 00002  501  28                                             1822 G 
110314 1136 00013  501  28                                             1822 9 
110314 1136 00003  501  29                     1945                    1853 9 
110314 1136 00002           501  03            1853                    1981 7 
110314 1137 00003           501  03            1853                    1981 7 
110314 1137 00003  501  30                     1255                    1853 9 
110314 1137 00008  501  04                                             1822 G 
110314 1137 00002  501  03                     1255                    1853 9 
110314 1137 00001           501  06            1853                    1981 7 
110314 1138 00000  501  06                     1255                    1855 I 
110314 1138 00045  501  04                                             1822 9 
110314 1138 00259  501  26                     4041                    1822 9 
110314 1139 00002  501  07               8312469961                    1441 H 
110314 1140 00251           501  05            1821                  015524 7 
110314 1141 00157           501  04            1835             89107918130 7 
110314 1141 00310           501  03            1860                  133007 7 
110314 1142 00016  501  08                     1255                    1853 H 
110314 1142 00012  501  09                     1944                    1822 G 
110314 1142 00645           501  02            1850                    1832 7 
110314 1142 00152           501  06            1427            989202557961 7 
110314 1142 00000  501  10               8312332179                    1855 I 
110314 1143 00059  501  09                     1944                    1822 9 
110314 1143 00000  501  12               8312332179                    1855 I 
110314 1143 00755           501  01            1853            988432537759 7 
110314 1143 00020  501  11                     1310                    1858 H 
110314 1143 00011           501  04            1822                   04345 7 
110314 1143 00057           501  02            1835                   04171 7 
110314 1143 00002  501  13                     1962                    1822 G 
110314 1144 00116           501  03            1860                  013536 7 
110314 1144 00015  501  14                     4105                    1853 G 
110314 1144 00024  501  14                     4105                    1853 9 
110314 1145 00116  501  13                     1962                    1822 9 
110314 1145 00103           501  02            1835             89616330032 7 
